CELDA;NOMBRE;CONTROLLER;FECHA;RSSI
LE32PU1;AT_LE_TROBAJO CAMINO;RNC672;2017-08-27;-97.18
SX04IU2;S_LLAVES_CTBX1035;CTB10R03;2017-08-27;-97.2
VA22GU3;AT_VA_VICTORIA;RNC682;2017-08-27;-97.24
SO26WU2;AT_SO_DURUELO DE LA ;RNC674;2017-08-27;-97.27
LE97WU2;LE_VALDEVIMBRE_RS_CY;CYL70R01;2017-08-27;-97.3
VA14GU2;AT_VA_PARQUESOL;RNC682;2017-08-27;-97.32
SX06IU2;OR_S_RS_TRASIERRA_CT;CTB10R01;2017-08-27;-97.34
BU04KU1;TM_BU_LAS MATILLAS;RNC674;2017-08-27;-97.52
SA17WU2;AM_SA_RONDA_GUIJUELO;CYL10R01;2017-08-27;-97.55
AV33WU2;AM_AV_PEDROBERNARDO;RNC673;2017-08-27;-97.57
LE38WU1;LE_GARRAFE_CYLX0921;CYL70R01;2017-08-27;-97.6
LE07WU2;LE_RS_BEMBIBRE_CYLX0;CYL70R01;2017-08-27;-97.6
VA41GU3;AM_VA_PUENTEDUERO;RNC682;2017-08-27;-97.63
VA29GU2;AT_VA_ESTADIO;RNC682;2017-08-27;-97.64
BU02KU3;AT_BU_MIRANDANUEVA;RNC674;2017-08-27;-97.66
VA04WU2;AM_VA_N620 TORDESILL;RNC682;2017-08-27;-97.66
VA55WU2;AM_VA_VIANA;RNC682;2017-08-27;-97.71
LE83WU2;AT_LE_CUADROS_CYLX15;CYL70R01;2017-08-27;-97.74
VA12GU2;AT_VA_MARCOS;RNC682;2017-08-27;-97.75
VA64WU1;AM_VA_LA PEDRAJA DE ;RNC682;2017-08-27;-97.8
ZA02PU1;AT_ZA_SAN TORCUATO;RNC672;2017-08-27;-97.81
SX38WU2;OR_S_RS_NOJA_CENTRO_;CTB10R02;2017-08-27;-97.82
SX52WU3;S_LIENDO_AM_CTBX7205;CTB10R02;2017-08-27;-97.89
ZA99IU2;AM_ZA_GALENDE_CYL692;CYL30R01;2017-08-27;-97.9
PX28IU3;P_VILLALOBON_CYLX774;CYL60R06;2017-08-27;-97.96
SA14PU3;AT_SA_PUERTAZAMORA;RNC672;2017-08-27;-97.97
AV21WU3;AT_AV_BURGUILLO;RNC673;2017-08-27;-98.0
BU06WU1;AT_BU_VILLARCAYO;RNC674;2017-08-27;-98.03
LE07IU3;LE_RS_VILLABLINO_CYL;CYL70R01;2017-08-27;-98.05
LE89WU1;LE_RS_TORRE DEL BIER;CYL70R01;2017-08-27;-98.05
BU56WU1;AT_BU_GOLFLERMA;RNC674;2017-08-27;-98.07
SA05WU3;AM_SA_CIUDADRODRIGON;CYL10R01;2017-08-27;-98.09
VA42WU1;AT_VA_ALDEAMAYOR;RNC682;2017-08-27;-98.15
SA64WU3;AM_SA_RS_CABEZADEFRA;CYL10R01;2017-08-27;-98.16
LE33IU2;AM_LE_RS_ACEBO DE SA;CYL70R01;2017-08-27;-98.2
SO23WU1;AM_SO_VALONSADERO_OS;RNC674;2017-08-27;-98.24
LE06PU3;AM_LE_ANTIBIOTICOS;RNC672;2017-08-27;-98.25
LE04IU2;LE_RS_MONTEJOS DEL C;CYL70R01;2017-08-27;-98.26
LE12IU2;LE_RS_VILLADANGOS DE;CYL70R01;2017-08-27;-98.28
LE99IU3;AM_LE_SOTO DE LA VEG;CYL70R01;2017-08-27;-98.28
ZA08RU0;AM_ZA_TABARA;RNC672;2017-08-27;-98.28
AV33RU1;AT_AV_SANCHIDRIAN;RNC673;2017-08-27;-98.34
LE97WU1;LE_VALDEVIMBRE_RS_CY;CYL70R01;2017-08-27;-98.35
LE87WU1;LE_MATARROSA_CYLX166;CYL70R01;2017-08-27;-98.37
SA15PU1;AT_SA_MONTALVOSUR;RNC672;2017-08-27;-98.39
VA06GU1;AT_VA_FRANCISCOSUARE;RNC682;2017-08-27;-98.4
VA07GU1;AT_VA_ESTACION;RNC682;2017-08-27;-98.4
VA36GU3;XF_VA_VADILLOS;RNC682;2017-08-27;-98.42
BU48WU3;AT_BU_HUERTAREY;RNC674;2017-08-27;-98.43
VA13GU1;TM_VA_MADRE DE DIOS;RNC682;2017-08-27;-98.43
VA68WU2;AM_VA_LA SECA;RNC682;2017-08-27;-98.43
PX03IU1;AM_P_ASTUDILLO_CYLX7;CYL60R07;2017-08-27;-98.44
SX28WU2;S_RS_COMILLAS_PLAYA_;CTB10R01;2017-08-27;-98.44
LE09PU3;AT_LE_ASTURIAS;RNC672;2017-08-27;-98.46
ZA21WU1;AM_ZA_TORO_CYL6911;CYL30R01;2017-08-27;-98.46
LE31WU3;LE_RS_CUBILLOS_CYLX0;CYL70R01;2017-08-27;-98.46
SX38WU3;OR_S_RS_NOJA_CENTRO_;CTB10R02;2017-08-27;-98.47
AV27WU1;AM_AV_CASAVIEJA;RNC673;2017-08-27;-98.49
BU08WU1;AM_BU_PBVILLARCAYO;RNC674;2017-08-27;-98.49
SX30WU2;OR_S_RS_PUENTEVIESGO;CTB10R02;2017-08-27;-98.5
SG14RU2;AT_SG_TOLOCIRIO;RNC673;2017-08-27;-98.51
LE98IU3;AM_LE_ORBIGO HOSPITA;CYL70R01;2017-08-27;-98.52
SX26IU3;S_CORONA_CTBX8001;CTB10R03;2017-08-27;-98.54
SA09WU3;SA_RS_CIUDADRODRIGO_;CYL10R01;2017-08-27;-98.55
SA19WU1;SA_RS_ALBATORMES;CYL10R01;2017-08-27;-98.58
BU52WU1;AT_BU_CARDENA;RNC674;2017-08-27;-98.62
PX07PU2;AT_P_CINCOPICOS;RNC682;2017-08-27;-98.64
BU36WU2;OR_BU_VILLANUEVA_LA ;RNC674;2017-08-27;-98.64
AV06WU3;AM_AV_PIAREVALO;RNC673;2017-08-27;-98.67
PX01IU1;P_AGUILAR_DE_CAMPOO_;CYL60R07;2017-08-27;-98.7
LE30PU3;AT_LE_CRUCERO;RNC672;2017-08-27;-98.71
SG12WU1;AM_SG_CANTALEJO2;RNC673;2017-08-27;-98.71
ZA03PU2;AT_ZA_SANLAZARO;RNC672;2017-08-27;-98.76
VA74GU1;AM_VA_SAN BLAS;RNC682;2017-08-27;-98.77
SX27IU1;S_RS_HINOJEDO_CTBX82;CTB10R01;2017-08-27;-98.77
SX27IU2;S_RS_HINOJEDO_CTBX82;CTB10R01;2017-08-27;-98.79
SG09WU1;AT_SG_SAN RAFAEL;RNC673;2017-08-27;-98.8
SA13PU1;AT_SA_ALFONSOVI;RNC672;2017-08-27;-98.81
SX65WU2;OR_S_RS_TAGLE_CTB820;CTB10R01;2017-08-27;-98.87
SO03PU3;AM_SO_POLIGONO LAS C;RNC674;2017-08-27;-98.89
SA39WU1;AM_SA_TAMAMES_CYLX64;CYL10R01;2017-08-27;-98.91
AV09WU1;AT_AV_ARENASPEDRO;RNC673;2017-08-27;-98.92
AV07PU3;AM_AV_SAN FRANCISCO;RNC673;2017-08-27;-98.94
VA45WU1;AT_VA_RENEDO;RNC682;2017-08-27;-98.97
LE17IU1;LE_RS_VILLAFINCA DEL;CYL70R01;2017-08-27;-99.0
SO03PU1;AM_SO_POLIGONO LAS C;RNC674;2017-08-27;-99.0
LE07IU1;LE_RS_VILLABLINO_CYL;CYL70R01;2017-08-27;-99.02
BU15GU3;IB_BU_FUENTECILLAS;RNC674;2017-08-27;-99.03
SA42WU1;AM_SA_RS_ENCINAR_CYL;CYL10R01;2017-08-27;-99.03
SA17PW3;AT_SA_SANTA;RNC672;2017-08-27;-99.05
SO17WU2;OR_SO_PBCOVALEDA;RNC674;2017-08-27;-99.07
VA39WU1;AM_VA_LAS FUENTES;RNC682;2017-08-27;-99.09
ZA30WU1;ZA_RS_MORALEJA_DEL_V;CYL30R01;2017-08-27;-99.1
LE91WU1;LE_RS_VALDEFRENSO_CY;CYL70R01;2017-08-27;-99.12
SA02PU2;AT_SA_LABRADORES;RNC672;2017-08-27;-99.13
VA49WU2;AT_VA_CABEZON;RNC682;2017-08-27;-99.14
ZA62WU3;AT_ZA_TRABAZOS_CYLX7;CYL30R01;2017-08-27;-99.15
LE06PU1;AM_LE_ANTIBIOTICOS;RNC672;2017-08-27;-99.16
SA07WU1;SA_CIUDAD RODRIGO_CY;CYL10R01;2017-08-27;-99.19
SX76WU3;OR_S_RS_SANMAMES_MER;CTB10R02;2017-08-27;-99.19
VA25GU3;AM_VA_PAJARILLOS BAJ;RNC682;2017-08-27;-99.23
AV38WU3;AM_AV_NAVADEAREVALO;RNC673;2017-08-27;-99.25
SA31WU3;AM_SA_RS_MACOTERA_CY;CYL10R01;2017-08-27;-99.27
SO26WU3;AT_SO_DURUELO DE LA ;RNC674;2017-08-27;-99.28
VA45WU3;AT_VA_RENEDO;RNC682;2017-08-27;-99.3
VA69WU1;AT_VA_FRESNO EL VIEJ;RNC682;2017-08-27;-99.32
SA31WU1;AM_SA_RS_MACOTERA_CY;CYL10R01;2017-08-27;-99.33
SX28WU1;S_RS_COMILLAS_PLAYA_;CTB10R01;2017-08-27;-99.33
SO02PU3;AT_SO_SORIA OESTE;RNC674;2017-08-27;-99.35
SG02WU3;SG_CUELLAR ESTE;RNC673;2017-08-27;-99.35
VA02RU3;AT_VA_CARBAJOSA;RNC682;2017-08-27;-99.36
AV18RU2;AT_AV_BLASCOSANCHO;RNC673;2017-08-27;-99.37
LE39WU2;LE_GARRAFE DE TORIO_;CYL70R01;2017-08-27;-99.37
SX76WU1;OR_S_RS_SANMAMES_MER;CTB10R02;2017-08-27;-99.38
SO08WU2;TM_SO_PBOLVEGA;RNC674;2017-08-27;-99.38
BU12GU1;AM_BU_PISONES;RNC674;2017-08-27;-99.39
BU28WU3;OR_BU_ROA_SUR;RNC674;2017-08-27;-99.39
AV01WU3;AM_AV_ADRADA;RNC673;2017-08-27;-99.4
ZA61WU3;AM_ZA_TRABAZOS_CYLX6;CYL30R01;2017-08-27;-99.43
SG03WU1;AM_SG_ARROYOCUELLAR;RNC673;2017-08-27;-99.45
BU28WU1;OR_BU_ROA_SUR;RNC674;2017-08-27;-99.48
AV29WU2;AT_AV_EL ARENAL;RNC673;2017-08-27;-99.49
LE05KU3;AT_LE_PONFERRADA;RNC672;2017-08-27;-99.5
SG35WU3;AM_SG_NIEVA;RNC673;2017-08-27;-99.51
ZA96WU3;ZA_COBREROS_CYLX6940;CYL30R01;2017-08-27;-99.51
SO02WU2;AM_SO_PBALMAZAN;RNC674;2017-08-27;-99.51
PX22IU3;AM_P_TORQUEMADA_CYLX;CYL60R07;2017-08-27;-99.51
LE91WU3;LE_RS_VALDEFRENSO_CY;CYL70R01;2017-08-27;-99.51
PX04PU2;TM_P_BERRUGUETE;RNC682;2017-08-27;-99.54
VA17GU3;AT_VA_COVARESA;RNC682;2017-08-27;-99.54
VA23GU3;AT_VA_PAJARILLOS;RNC682;2017-08-27;-99.54
VA15WU3;AM_VA_ISCAR CASTILLO;RNC682;2017-08-27;-99.55
SX04WU1;AM_S_RS_DELTEBRE4_RE;CTB10R03;2017-08-27;-99.56
LE37PU1;AT_LE_RONDA LEON;RNC672;2017-08-27;-99.57
PX28IU2;P_VILLALOBON_CYLX774;CYL60R06;2017-08-27;-99.57
SX28WU3;S_RS_COMILLAS_PLAYA_;CTB10R01;2017-08-27;-99.59
BU18WU1;AT_BU_ROA;RNC674;2017-08-27;-99.62
LE03PU2;AT_LE_LA LASTRA;RNC672;2017-08-27;-99.63
ZA21WU3;AM_ZA_TORO_CYL6911;CYL30R01;2017-08-27;-99.65
AV04PU3;AT_AV_SANROQUE;RNC673;2017-08-27;-99.65
ZA16WU3;AM_ZA_FARIZA_CYLX702;CYL30R01;2017-08-27;-99.66
SG19WU1;AM_SG_NAVALAASUNCION;RNC673;2017-08-27;-99.66
SA16WU1;SA_RS_CAMPILLO DE SA;CYL10R01;2017-08-27;-99.69
SA26WU3;AM_SA_RS_VILLORIA_CY;CYL10R01;2017-08-27;-99.7
SG04PU2;AT_SG_CENTRO;RNC673;2017-08-27;-99.71
VA03GU1;AT_VA_SANCHO;RNC682;2017-08-27;-99.74
VA15GU1;AT_VA_MERCAOLID;RNC682;2017-08-27;-99.76
SA21PU2;AM_SA_PIZARRALES;RNC672;2017-08-27;-99.76
VA73GU3;AM_VA_SANTUARIO;RNC682;2017-08-27;-99.77
SA70WU2;AM_SA_RS_JUZBADO_CYL;CYL10R01;2017-08-27;-99.78
AV27WU2;AM_AV_CASAVIEJA;RNC673;2017-08-27;-99.8
SA15WU1;SA_RS_GUIJUELO_CYLX5;CYL10R01;2017-08-27;-99.81
ZA06WU1;AM_ZA_BENAVENTE_N_CY;CYL30R01;2017-08-27;-99.81
LE17IU2;LE_RS_VILLAFINCA DEL;CYL70R01;2017-08-27;-99.81
SO14WU2;AM_SO_VALVERDE_DE_AG;RNC674;2017-08-27;-99.83
SO15OU1;AM_SO_NOVIERCAS;RNC674;2017-08-27;-99.84
BU10GU3;AM_BU_REYESCATOLICOS;RNC674;2017-08-27;-99.84
VA54WU2;AT_VA_RUEDA;RNC682;2017-08-27;-99.87
VA01KU2;AT_VA_MEDINA_S;RNC682;2017-08-27;-99.88
AV17WU1;RV_AV_CEBREROS;RNC673;2017-08-27;-99.89
AV05WU2;AT_AV_AREVALO;RNC673;2017-08-27;-99.89
VA02GU3;AT_VA_CENTRO2;RNC682;2017-08-27;-99.89
SA19WU3;SA_RS_ALBATORMES;CYL10R01;2017-08-27;-99.91
SG04RU1;AT_SG_A1CASTILL;RNC673;2017-08-27;-99.91
LE56IU3;LE_RS_SAN ROMAN_CYLX;CYL70R01;2017-08-27;-99.91
SX52WU2;S_LIENDO_AM_CTBX7205;CTB10R02;2017-08-27;-99.91
SO23WU3;AM_SO_VALONSADERO_OS;RNC674;2017-08-27;-99.92
LE99IU2;AM_LE_SOTO DE LA VEG;CYL70R01;2017-08-27;-99.93
SA05WU1;AM_SA_CIUDADRODRIGON;CYL10R01;2017-08-27;-99.93
SA40WU1;SA_VILLORUELA_CYLX67;CYL10R01;2017-08-27;-99.93
SX29WU2;S_NATES_AM_CTBX3301;CTB10R02;2017-08-27;-99.99
SX44WU1;S_MATAPORQUERA_CTBX5;CTB10R03;2017-08-27;-99.99
